Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
DRR898363_1	(15.0, 5.0)	(16.0, 159.0)	(17.0, 1351.0)	(18.0, 3771.0)	(19.0, 3655.0)	(20.0, 3232.0)	(21.0, 3282.0)	(22.0, 3562.0)	(23.0, 3906.0)	(24.0, 4396.0)	(25.0, 5133.0)	(26.0, 5934.0)	(27.0, 7472.0)	(28.0, 10773.0)	(29.0, 18091.0)	(30.0, 22759.0)	(31.0, 30742.0)	(32.0, 51831.0)	(33.0, 83429.0)	(34.0, 136468.0)	(35.0, 250924.0)	(36.0, 1409579.0)	(37.0, 916442.0)													
DRR898363_2	(13.0, 1.0)	(14.0, 138.0)	(15.0, 1436.0)	(16.0, 4251.0)	(17.0, 6110.0)	(18.0, 6565.0)	(19.0, 4387.0)	(20.0, 3684.0)	(21.0, 3722.0)	(22.0, 3958.0)	(23.0, 4263.0)	(24.0, 4679.0)	(25.0, 5533.0)	(26.0, 7080.0)	(27.0, 10084.0)	(28.0, 14153.0)	(29.0, 18322.0)	(30.0, 23371.0)	(31.0, 31981.0)	(32.0, 49429.0)	(33.0, 80107.0)	(34.0, 136696.0)	(35.0, 270495.0)	(36.0, 1501130.0)	(37.0, 785321.0)											
DRR898364_1	(15.0, 5.0)	(16.0, 202.0)	(17.0, 1507.0)	(18.0, 4237.0)	(19.0, 4191.0)	(20.0, 3501.0)	(21.0, 3766.0)	(22.0, 3942.0)	(23.0, 4166.0)	(24.0, 4801.0)	(25.0, 5536.0)	(26.0, 6335.0)	(27.0, 7739.0)	(28.0, 10838.0)	(29.0, 17663.0)	(30.0, 23444.0)	(31.0, 32631.0)	(32.0, 55176.0)	(33.0, 90090.0)	(34.0, 147137.0)	(35.0, 271522.0)	(36.0, 1548922.0)	(37.0, 1036479.0)													
DRR898364_2	(13.0, 2.0)	(14.0, 148.0)	(15.0, 1511.0)	(16.0, 4881.0)	(17.0, 6979.0)	(18.0, 7836.0)	(19.0, 5128.0)	(20.0, 4358.0)	(21.0, 4373.0)	(22.0, 4519.0)	(23.0, 4844.0)	(24.0, 5393.0)	(25.0, 6272.0)	(26.0, 7931.0)	(27.0, 10544.0)	(28.0, 14244.0)	(29.0, 18727.0)	(30.0, 23726.0)	(31.0, 33698.0)	(32.0, 52884.0)	(33.0, 87865.0)	(34.0, 149812.0)	(35.0, 296788.0)	(36.0, 1677243.0)	(37.0, 854124.0)											
DRR898365_1	(15.0, 1.0)	(16.0, 191.0)	(17.0, 1544.0)	(18.0, 4223.0)	(19.0, 4007.0)	(20.0, 3515.0)	(21.0, 3538.0)	(22.0, 3738.0)	(23.0, 3990.0)	(24.0, 4422.0)	(25.0, 5085.0)	(26.0, 6022.0)	(27.0, 7583.0)	(28.0, 10309.0)	(29.0, 17102.0)	(30.0, 22778.0)	(31.0, 31256.0)	(32.0, 52662.0)	(33.0, 84931.0)	(34.0, 138345.0)	(35.0, 254041.0)	(36.0, 1439395.0)	(37.0, 895375.0)													
DRR898365_2	(13.0, 2.0)	(14.0, 118.0)	(15.0, 1330.0)	(16.0, 4215.0)	(17.0, 6109.0)	(18.0, 7140.0)	(19.0, 4691.0)	(20.0, 3970.0)	(21.0, 3730.0)	(22.0, 4008.0)	(23.0, 4287.0)	(24.0, 4852.0)	(25.0, 5603.0)	(26.0, 7164.0)	(27.0, 9850.0)	(28.0, 13493.0)	(29.0, 18166.0)	(30.0, 22964.0)	(31.0, 31790.0)	(32.0, 50480.0)	(33.0, 82983.0)	(34.0, 139284.0)	(35.0, 275668.0)	(36.0, 1526224.0)	(37.0, 765932.0)											
DRR898366_1	(15.0, 4.0)	(16.0, 195.0)	(17.0, 1610.0)	(18.0, 4435.0)	(19.0, 4135.0)	(20.0, 3554.0)	(21.0, 3567.0)	(22.0, 3858.0)	(23.0, 3935.0)	(24.0, 4351.0)	(25.0, 5131.0)	(26.0, 6035.0)	(27.0, 7345.0)	(28.0, 9391.0)	(29.0, 13656.0)	(30.0, 19942.0)	(31.0, 29881.0)	(32.0, 51984.0)	(33.0, 85050.0)	(34.0, 139908.0)	(35.0, 258521.0)	(36.0, 1489317.0)	(37.0, 950416.0)													
DRR898366_2	(13.0, 2.0)	(14.0, 116.0)	(15.0, 1228.0)	(16.0, 3874.0)	(17.0, 5712.0)	(18.0, 6414.0)	(19.0, 4346.0)	(20.0, 3653.0)	(21.0, 3530.0)	(22.0, 3793.0)	(23.0, 4166.0)	(24.0, 4481.0)	(25.0, 5112.0)	(26.0, 6215.0)	(27.0, 8180.0)	(28.0, 11165.0)	(29.0, 14850.0)	(30.0, 20105.0)	(31.0, 29511.0)	(32.0, 46945.0)	(33.0, 79300.0)	(34.0, 135681.0)	(35.0, 271954.0)	(36.0, 1574513.0)	(37.0, 851375.0)											
DRR898368_1	(15.0, 3.0)	(16.0, 56.0)	(17.0, 608.0)	(18.0, 2048.0)	(19.0, 1947.0)	(20.0, 1749.0)	(21.0, 1795.0)	(22.0, 1877.0)	(23.0, 2199.0)	(24.0, 2481.0)	(25.0, 2766.0)	(26.0, 3336.0)	(27.0, 4148.0)	(28.0, 5516.0)	(29.0, 8569.0)	(30.0, 12311.0)	(31.0, 18130.0)	(32.0, 31142.0)	(33.0, 53430.0)	(34.0, 89564.0)	(35.0, 172033.0)	(36.0, 1108890.0)	(37.0, 766049.0)													
DRR898368_2	(13.0, 3.0)	(14.0, 55.0)	(15.0, 747.0)	(16.0, 2137.0)	(17.0, 3014.0)	(18.0, 3521.0)	(19.0, 2412.0)	(20.0, 2033.0)	(21.0, 2132.0)	(22.0, 2215.0)	(23.0, 2343.0)	(24.0, 2581.0)	(25.0, 2981.0)	(26.0, 3236.0)	(27.0, 4175.0)	(28.0, 5330.0)	(29.0, 7059.0)	(30.0, 9555.0)	(31.0, 14709.0)	(32.0, 25763.0)	(33.0, 46703.0)	(34.0, 87472.0)	(35.0, 194038.0)	(36.0, 1187279.0)	(37.0, 679154.0)											
