Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR898364_2	(1.0, 63.177223350188726)	(2.0, 24.37633965830248)	(3.0, 7.830970358917908)	(4.0, 2.5022668166644255)	(5.0, 0.7717920217448997)	(6.0, 0.29176461418750094)	(7.0, 0.12382258455555341)	(8.0, 0.08278290142412753)	(9.0, 0.04934870755058632)	('>10', 0.12204785502287104)	('>50', 0.005784980378687076)	('>100', 0.004809502701669578)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.6610466483605578)
DRR898365_1	(1.0, 65.299292991778)	(2.0, 23.772017241057657)	(3.0, 7.509558503988279)	(4.0, 2.1143344267147475)	(5.0, 0.64195016822334)	(6.0, 0.21743424304612427)	(7.0, 0.09247630957470634)	(8.0, 0.06273507320594125)	(9.0, 0.03077579139763703)	('>10', 0.08608119130495363)	('>50', 0.005447422007813249)	('>100', 0.007310654695913292)	('>500', 0.032330128291150534)	('>1k', 0.12825585471374096)	('>5k', 0.0)	('>10k+', 0.0)
DRR898365_2	(1.0, 65.96418604168657)	(2.0, 23.152912590165375)	(3.0, 7.074525674739151)	(4.0, 2.077014540203476)	(5.0, 0.6320787991045163)	(6.0, 0.1939797276943241)	(7.0, 0.10309799141812531)	(8.0, 0.07254806321624616)	(9.0, 0.0408843159380161)	('>10', 0.0934506456849267)	('>50', 0.005787750538856997)	('>100', 0.005386459885836944)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.5841473997245802)
DRR898366_1	(1.0, 64.17237740775055)	(2.0, 24.34217302256316)	(3.0, 7.7315136438825425)	(4.0, 2.3552832053872295)	(5.0, 0.7431351457021604)	(6.0, 0.2775339373178629)	(7.0, 0.1318051835381105)	(8.0, 0.06367214265569729)	(9.0, 0.04543736118384346)	('>10', 0.10818194428887601)	('>50', 0.016319960481181034)	('>100', 0.01256704524879336)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898366_2	(1.0, 64.65199132491712)	(2.0, 23.91339096417527)	(3.0, 7.508468125835015)	(4.0, 2.2359268684616547)	(5.0, 0.7289737436467011)	(6.0, 0.2174064378127121)	(7.0, 0.11494592107612782)	(8.0, 0.06457588975900463)	(9.0, 0.043024822610254206)	('>10', 0.11848222095895786)	('>50', 0.005270198869723792)	('>100', 0.004800007543151933)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.39274347433432427)
DRR898368_1	(1.0, 69.1398881821856)	(2.0, 22.131660860818723)	(3.0, 6.26460437800343)	(4.0, 1.5682223609821633)	(5.0, 0.44772455220298774)	(6.0, 0.17681274501196345)	(7.0, 0.06712549599065638)	(8.0, 0.05120633090260192)	(9.0, 0.02142375284834131)	('>10', 0.05442150498797062)	('>50', 0.0064513116252524465)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.07045852444035851)	('>5k', 0.0)	('>10k+', 0.0)
DRR898368_2	(1.0, 69.11720195286371)	(2.0, 21.978883652204956)	(3.0, 6.107521031063942)	(4.0, 1.5753412973968328)	(5.0, 0.4475459009339418)	(6.0, 0.15858243059855096)	(7.0, 0.09304224663419511)	(8.0, 0.0475897503782086)	(9.0, 0.03442761034154216)	('>10', 0.05403385202512968)	('>50', 0.0)	('>100', 0.0053044683325770055)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.3805258072264452)	('>10k+', 0.0)
DRR898372_1	(1.0, 69.83610077827437)	(2.0, 21.86034460566368)	(3.0, 6.004251882457192)	(4.0, 1.5051568190523343)	(5.0, 0.43956999645810446)	(6.0, 0.1492090396114627)	(7.0, 0.07633511948392818)	(8.0, 0.038462587304490814)	(9.0, 0.028610577896853322)	('>10', 0.04259537421418252)	('>50', 0.007623506567470111)	('>100', 0.011739713015927852)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898372_2	(1.0, 70.0145251525788)	(2.0, 21.52216381962787)	(3.0, 5.857495898971413)	(4.0, 1.44767488839058)	(5.0, 0.400019318529269)	(6.0, 0.1409046939922707)	(7.0, 0.06811696798647185)	(8.0, 0.05226539009793575)	(9.0, 0.023759908160267428)	('>10', 0.049458100369443335)	('>50', 0.0028814803879085066)	('>100', 0.004950365676126196)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.4157840152316182)	('>10k+', 0.0)
DRR898376_1	(1.0, 72.3901234721608)	(2.0, 18.34960558150138)	(3.0, 4.961845456613596)	(4.0, 1.6858457924042984)	(5.0, 0.6648545876953192)	(6.0, 0.4172924997856581)	(7.0, 0.29719160363366576)	(8.0, 0.20220302597583747)	(9.0, 0.17932564650945784)	('>10', 0.7022908582245415)	('>50', 0.012287989798436037)	('>100', 0.06746336997506014)	('>500', 0.0)	('>1k', 0.06967011572190791)	('>5k', 0.0)	('>10k+', 0.0)
