Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
DRR898364_2_paired	(18.0, 9.0)	(19.0, 78.0)	(20.0, 463.0)	(21.0, 873.0)	(22.0, 1172.0)	(23.0, 1242.0)	(24.0, 1191.0)	(25.0, 1290.0)	(26.0, 1617.0)	(27.0, 2193.0)	(28.0, 3294.0)	(29.0, 5402.0)	(30.0, 9052.0)	(31.0, 16485.0)	(32.0, 31842.0)	(33.0, 62451.0)	(34.0, 120797.0)	(35.0, 259385.0)	(36.0, 1604648.0)	(37.0, 834903.0)						
DRR898365_1_paired	(19.0, 20.0)	(20.0, 116.0)	(21.0, 344.0)	(22.0, 541.0)	(23.0, 682.0)	(24.0, 865.0)	(25.0, 998.0)	(26.0, 1344.0)	(27.0, 2032.0)	(28.0, 3209.0)	(29.0, 5306.0)	(30.0, 9485.0)	(31.0, 17598.0)	(32.0, 34262.0)	(33.0, 62860.0)	(34.0, 111043.0)	(35.0, 219991.0)	(36.0, 1343628.0)	(37.0, 830962.0)							
DRR898365_2_paired	(18.0, 4.0)	(19.0, 86.0)	(20.0, 388.0)	(21.0, 737.0)	(22.0, 1060.0)	(23.0, 1092.0)	(24.0, 1127.0)	(25.0, 1099.0)	(26.0, 1423.0)	(27.0, 1929.0)	(28.0, 2957.0)	(29.0, 4821.0)	(30.0, 7956.0)	(31.0, 14267.0)	(32.0, 28406.0)	(33.0, 56233.0)	(34.0, 107557.0)	(35.0, 233094.0)	(36.0, 1438179.0)	(37.0, 742871.0)						
DRR898366_1_paired	(19.0, 19.0)	(20.0, 127.0)	(21.0, 365.0)	(22.0, 654.0)	(23.0, 759.0)	(24.0, 868.0)	(25.0, 1128.0)	(26.0, 1419.0)	(27.0, 2153.0)	(28.0, 3420.0)	(29.0, 5892.0)	(30.0, 10084.0)	(31.0, 18684.0)	(32.0, 36300.0)	(33.0, 65473.0)	(34.0, 115538.0)	(35.0, 226610.0)	(36.0, 1402153.0)	(37.0, 891129.0)							
DRR898366_2_paired	(18.0, 3.0)	(19.0, 65.0)	(20.0, 319.0)	(21.0, 655.0)	(22.0, 984.0)	(23.0, 1058.0)	(24.0, 970.0)	(25.0, 968.0)	(26.0, 1282.0)	(27.0, 1826.0)	(28.0, 2703.0)	(29.0, 4580.0)	(30.0, 7735.0)	(31.0, 14198.0)	(32.0, 27652.0)	(33.0, 55660.0)	(34.0, 107020.0)	(35.0, 233830.0)	(36.0, 1492879.0)	(37.0, 828388.0)						
DRR898368_1_paired	(19.0, 10.0)	(20.0, 67.0)	(21.0, 191.0)	(22.0, 295.0)	(23.0, 430.0)	(24.0, 453.0)	(25.0, 538.0)	(26.0, 797.0)	(27.0, 1108.0)	(28.0, 1871.0)	(29.0, 3150.0)	(30.0, 5649.0)	(31.0, 10843.0)	(32.0, 21658.0)	(33.0, 41094.0)	(34.0, 74834.0)	(35.0, 152141.0)	(36.0, 1039816.0)	(37.0, 732014.0)							
DRR898368_2_paired	(18.0, 3.0)	(19.0, 36.0)	(20.0, 200.0)	(21.0, 381.0)	(22.0, 520.0)	(23.0, 562.0)	(24.0, 547.0)	(25.0, 624.0)	(26.0, 731.0)	(27.0, 1029.0)	(28.0, 1611.0)	(29.0, 2709.0)	(30.0, 4599.0)	(31.0, 8414.0)	(32.0, 17224.0)	(33.0, 35255.0)	(34.0, 69686.0)	(35.0, 159213.0)	(36.0, 1121652.0)	(37.0, 661963.0)						
DRR898372_1_paired	(19.0, 11.0)	(20.0, 84.0)	(21.0, 202.0)	(22.0, 320.0)	(23.0, 453.0)	(24.0, 493.0)	(25.0, 630.0)	(26.0, 815.0)	(27.0, 1203.0)	(28.0, 1972.0)	(29.0, 3420.0)	(30.0, 6293.0)	(31.0, 11665.0)	(32.0, 22558.0)	(33.0, 42400.0)	(34.0, 76854.0)	(35.0, 155279.0)	(36.0, 1011985.0)	(37.0, 704021.0)							
DRR898372_2_paired	(19.0, 52.0)	(20.0, 244.0)	(21.0, 467.0)	(22.0, 663.0)	(23.0, 725.0)	(24.0, 747.0)	(25.0, 745.0)	(26.0, 894.0)	(27.0, 1201.0)	(28.0, 1892.0)	(29.0, 3209.0)	(30.0, 5375.0)	(31.0, 9534.0)	(32.0, 19098.0)	(33.0, 38273.0)	(34.0, 75601.0)	(35.0, 168690.0)	(36.0, 1102563.0)	(37.0, 610685.0)							
DRR898376_1_paired	(19.0, 1.0)	(20.0, 4.0)	(21.0, 57.0)	(22.0, 167.0)	(23.0, 301.0)	(24.0, 480.0)	(25.0, 617.0)	(26.0, 817.0)	(27.0, 978.0)	(28.0, 1346.0)	(29.0, 1754.0)	(30.0, 2300.0)	(31.0, 2932.0)	(32.0, 3786.0)	(33.0, 5166.0)	(34.0, 7511.0)	(35.0, 11647.0)	(36.0, 19915.0)	(37.0, 36839.0)	(38.0, 118469.0)	(39.0, 886390.0)	(40.0, 169387.0)				
