Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
DRR898364_1_paired	(1, 0.00023661542590607654)	(2, 0.156808422968327)	(3, 0.0)	(4, 0.03190928029361946)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.011641478954578965)	(15, 0.0060641153439357325)	(20, 0.0)	(25, 0.0)	(30, 0.008829135606666741)	(35, 0.001541680655051996)	(40, 0.01592216935057511)	(45, 7.448630183366314e-05)	(50, 2.7102997828711086e-05)	(55, 0.0)	(60, 0.00027135913547150314)	(65, 0.0003461892169797258)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 6.808252909711128e-06)	(95, 0.0006131179027770767)	(100, 4.771652891700044e-05)	(105, 0.0)	(110, 3.412750774046003e-05)	(115, 0.0)	(120, 0.0)	(125, 6.840329873540085e-06)	(130, 0.0)	(135, 0.0021787114812545517)	(140, 0.0)	(145, 0.0)	(150, 8.75946219004424e-05)
DRR898364_2_paired	(1, 0.036878204237647066)	(2, 0.028495257719831787)	(3, 0.0009464617036243062)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.012047105398989382)	(15, 0.004238796344088857)	(20, 0.0008112528888208337)	(25, 2.0281322220520845e-05)	(30, 0.008295060788193025)	(35, 0.002238219443013344)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0021316456854574856)	(70, 0.0019969129356148404)	(75, 2.7182507295445175e-05)	(80, 0.0)	(85, 8.162487926319943e-05)	(90, 0.0)	(95, 0.0003199979520131071)	(100, 0.01570845756706919)	(105, 4.77096017413732e-05)	(110, 2.727784496841396e-05)	(115, 1.3646703495480278e-05)	(120, 0.0)	(125, 0.001215983294302319)	(130, 0.016022889216759616)	(135, 8.208201580297689e-05)	(140, 0.002491664901737361)	(145, 6.165922930759083e-05)	(150, 0.00012216652204477438)
DRR898365_1_paired	(1, 0.00011340928731335667)	(2, 0.1545012524165629)	(3, 0.0)	(4, 0.028805958977592593)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.01223308179153407)	(15, 0.005912404178602994)	(20, 0.0)	(25, 0.0)	(30, 0.009443213323625499)	(35, 0.0015199953114572481)	(40, 0.015506866802371302)	(45, 4.544181141966354e-05)	(50, 0.0)	(55, 0.0)	(60, 0.00024283111331311713)	(65, 0.00031891057717043703)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 7.616298788010757e-06)	(95, 0.00047250248902117606)	(100, 8.38841919248959e-05)	(105, 0.0)	(110, 3.8182416187878256e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.001993244434631549)	(140, 0.0)	(145, 0.0)	(150, 1.9616216569308114e-05)
DRR898365_2_paired	(1, 0.034476423343260426)	(2, 0.028843762073363713)	(3, 0.0008316681069646155)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.012603552130091037)	(15, 0.004165901153977302)	(20, 0.0006653344855716924)	(25, 0.0)	(30, 0.008974454936063624)	(35, 0.002382147415903201)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0018601297808751934)	(70, 0.0018231281582371931)	(75, 0.0)	(80, 0.0)	(85, 0.00010650272144882652)	(90, 0.0)	(95, 0.00022844558768769663)	(100, 0.01594632647836846)	(105, 6.860879880401143e-05)	(110, 1.5255291583922601e-05)	(115, 7.632100983075664e-06)	(120, 0.0)	(125, 0.0011308859077479821)	(130, 0.016002680315151112)	(135, 7.650851260489222e-05)	(140, 0.002143744664085547)	(145, 3.065028643842063e-05)	(150, 1.9521977060896073e-05)
DRR898366_1_paired	(1, 0.00010780605690363037)	(2, 0.1626074691629758)	(3, 0.0)	(4, 0.028173316204148736)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.012110213725507812)	(15, 0.006727097950786534)	(20, 0.0)	(25, 0.0)	(30, 0.009249759682331486)	(35, 0.001797136241833004)	(40, 0.01662568039571853)	(45, 4.319781004382202e-05)	(50, 1.4408946803249075e-05)	(55, 0.0)	(60, 0.00031019229108675435)	(65, 0.00031760257408224404)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0005289101950338231)	(100, 0.00012325050440268925)	(105, 7.254833423946203e-06)	(110, 2.1779650053294802e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.001960671695510164)	(140, 0.0)	(145, 0.0)	(150, 3.7298596901381764e-05)
DRR898366_2_paired	(1, 0.035468192721294395)	(2, 0.032808976651004844)	(3, 0.0009343191598314632)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.012433631896218702)	(15, 0.004887207912964577)	(20, 0.0006037139186603301)	(25, 1.4374140920484048e-05)	(30, 0.008710729397813333)	(35, 0.002573497063337932)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0018469449690481604)	(70, 0.0018766807119375947)	(75, 7.221346994966432e-06)	(80, 0.0)	(85, 0.00015901157250085667)	(90, 0.0)	(95, 0.0002604439092804412)	(100, 0.015902118803520816)	(105, 0.00010862493576645465)	(110, 2.898182781432386e-05)	(115, 0.0)	(120, 0.0)	(125, 0.00110315741069215)	(130, 0.015671136765234826)	(135, 0.000159862576316214)	(140, 0.0021596481736793427)	(145, 7.277346138163472e-05)	(150, 1.8522933150919488e-05)
DRR898368_1_paired	(1, 0.0001437498292970777)	(2, 0.16353938913030874)	(3, 0.0)	(4, 0.029516631615666623)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.011777902680407234)	(15, 0.005855409713367632)	(20, 0.0)	(25, 0.0)	(30, 0.008749572943215463)	(35, 0.0014856247593647315)	(40, 0.015478364909261681)	(45, 4.797533070115082e-05)	(50, 1.919958467458432e-05)	(55, 0.0)	(60, 0.00033631141899300484)	(65, 0.0004710545623460901)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.9272620467368756e-05)	(95, 0.000645943700125554)	(100, 0.00010610459269871147)	(105, 0.0)	(110, 7.725256654753356e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.002373423392964708)	(140, 0.0)	(145, 0.0)	(150, 7.409932273219023e-05)
DRR898368_2_paired	(1, 0.03363746005551618)	(2, 0.029277048566838163)	(3, 0.0011979152441423141)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.012295402065876714)	(15, 0.004111245117896423)	(20, 0.0008241656879699122)	(25, 2.874996585941554e-05)	(30, 0.008366240065089924)	(35, 0.0025687285857414286)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.002258927063474601)	(70, 0.0020674750782707597)	(75, 9.61983101227654e-06)	(80, 0.0)	(85, 0.00016366163054157078)	(90, 0.0)	(95, 0.00039499828127577126)	(100, 0.015758106606145256)	(105, 7.713603170599447e-05)	(110, 1.9292633657677874e-05)	(115, 1.9301183287993246e-05)	(120, 0.0)	(125, 0.0014199055888353307)	(130, 0.016322295859925517)	(135, 0.00013536316195970275)	(140, 0.002631413974820464)	(145, 6.776328310396107e-05)	(150, 9.833448425652615e-05)
DRR898372_1_paired	(1, 4.9003801714937044e-05)	(2, 0.16092848483185324)	(3, 0.0)	(4, 0.02881423540838298)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.011672705568498004)	(15, 0.00624308433848298)	(20, 0.0)	(25, 0.0)	(30, 0.008712875944915807)	(35, 0.0016860135083010188)	(40, 0.01746934257890851)	(45, 5.888935847699556e-05)	(50, 0.0)	(55, 0.0)	(60, 0.00028509701556511734)	(65, 0.00046229065610257106)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 9.861956280764372e-06)	(95, 0.0007104464139378535)	(100, 0.0001086015701615014)	(105, 0.0)	(110, 2.965319403448904e-05)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0020529734593178017)	(140, 0.0)	(145, 0.0)	(150, 5.0611846613713176e-05)
DRR898372_2_paired	(1, 0.036409824674198225)	(2, 0.028716227804953108)	(3, 0.0014701140514481114)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0121431420649614)	(15, 0.004439744435373296)	(20, 0.0006664517033231438)	(25, 2.9402281028962228e-05)	(30, 0.008144431845022537)	(35, 0.002480082146594421)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.001986902769732625)	(70, 0.001918912466692108)	(75, 9.844852023505962e-06)	(80, 0.0)	(85, 0.00010838401599826902)	(90, 0.0)	(95, 0.00031556417747013776)	(100, 0.01619936784975984)	(105, 6.90911133134726e-05)	(110, 3.950012590665133e-05)	(115, 0.0)	(120, 0.0)	(125, 0.001167048446455768)	(130, 0.016822652235601837)	(135, 9.901618508659805e-05)	(140, 0.0023085720649503377)	(145, 2.9745695128636747e-05)	(150, 2.5216451717429484e-05)
