Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
DRR898364_1_paired	(1, 35.186381294942144)	(2, 36.07505846936185)	(3, 36.19938500270587)	(4, 36.27294096411322)	(5, 36.309141772188696)	(6, 36.26264143264556)	(7, 36.206868810605236)	(8, 36.17112974063231)	(9, 36.164525466073236)	(10, 36.202454986450384)	(15, 36.44509991424381)	(20, 36.48901823865505)	(25, 36.39440877748584)	(30, 36.404905984240735)	(35, 36.477834337758324)	(40, 36.49590581913744)	(45, 36.52637107345906)	(50, 36.54876670383834)	(55, 36.54444215728339)	(60, 36.52972048077242)	(65, 36.53492534741547)	(70, 36.531025387603634)	(75, 36.50948113589955)	(80, 36.49485562392424)	(85, 36.49893750059332)	(90, 36.47401626450586)	(95, 36.464976124410256)	(100, 36.45056417217)	(105, 36.430502462479936)	(110, 36.41153958673739)	(115, 36.372859995583006)	(120, 36.36106038738743)	(125, 36.34408707701112)	(130, 36.33127246710719)	(135, 36.28389895928467)	(140, 36.2811928841161)	(145, 36.23863430462181)	(150, 36.37634784190506)
DRR898364_2_paired	(1, 33.85603235817356)	(2, 35.88742615486074)	(3, 35.9860630133921)	(4, 36.12769627503096)	(5, 36.130535660141824)	(6, 36.17092557532196)	(7, 36.2458515400453)	(8, 36.26144415859048)	(9, 36.286846852693714)	(10, 36.376106168665565)	(15, 36.45431229923604)	(20, 36.496617447277856)	(25, 36.36235124072679)	(30, 36.35798690299815)	(35, 36.4223463286025)	(40, 36.456019379588014)	(45, 36.48595356950722)	(50, 36.50581571324727)	(55, 36.51398968884354)	(60, 36.52382352985096)	(65, 36.52682322888692)	(70, 36.51155315610862)	(75, 36.50341124954233)	(80, 36.507436913421394)	(85, 36.51472108420608)	(90, 36.476902983014135)	(95, 36.48185735252024)	(100, 36.43673551336815)	(105, 36.41600058965624)	(110, 36.387037983893)	(115, 36.3818665751802)	(120, 36.361188467496106)	(125, 36.34940266025418)	(130, 36.325774911961254)	(135, 36.289707361989386)	(140, 36.25184693148026)	(145, 36.24824235579747)	(150, 36.41616642928669)
DRR898365_1_paired	(1, 35.210314121044)	(2, 36.07897709359215)	(3, 36.1977839069197)	(4, 36.270213504324296)	(5, 36.30077957544099)	(6, 36.259602553372304)	(7, 36.19177245863018)	(8, 36.16077732237648)	(9, 36.143104753134445)	(10, 36.182062506662795)	(15, 36.42939553605924)	(20, 36.47091271038368)	(25, 36.37699243106417)	(30, 36.386903419894864)	(35, 36.45930286724846)	(40, 36.478527630002446)	(45, 36.50891898831341)	(50, 36.53059737787631)	(55, 36.52765083628581)	(60, 36.513595125804855)	(65, 36.518809090320396)	(70, 36.51491975684682)	(75, 36.490791963156376)	(80, 36.4747463925605)	(85, 36.477287029693436)	(90, 36.45196422429136)	(95, 36.442624464125714)	(100, 36.429383839035566)	(105, 36.409191791211484)	(110, 36.39147205731206)	(115, 36.34964553365413)	(120, 36.337751686785474)	(125, 36.32253145748343)	(130, 36.308529847403726)	(135, 36.26327295397863)	(140, 36.25924455459697)	(145, 36.21625882943862)	(150, 36.36289768311255)
DRR898365_2_paired	(1, 33.86962997573797)	(2, 35.904953566457465)	(3, 35.998256899253995)	(4, 36.158055499480966)	(5, 36.20676176413439)	(6, 36.246997111087424)	(7, 36.26416954537241)	(8, 36.271872304166735)	(9, 36.31487408166829)	(10, 36.39449972517149)	(15, 36.468124958889135)	(20, 36.49812330311354)	(25, 36.37828310435998)	(30, 36.37213533810711)	(35, 36.43658178503765)	(40, 36.464656375501534)	(45, 36.48936003704422)	(50, 36.50644166307892)	(55, 36.51288359929934)	(60, 36.520754066817474)	(65, 36.52403173452002)	(70, 36.50683596658457)	(75, 36.49759679199843)	(80, 36.50189189365737)	(85, 36.50630479495065)	(90, 36.46984330389969)	(95, 36.47431044244409)	(100, 36.42880910461447)	(105, 36.40677272945463)	(110, 36.37813293886908)	(115, 36.37133769762388)	(120, 36.354855066197835)	(125, 36.34008254968115)	(130, 36.316716602429715)	(135, 36.28030668347409)	(140, 36.24089882054407)	(145, 36.23610743143378)	(150, 36.40938891248045)
DRR898366_1_paired	(1, 35.21757993369928)	(2, 36.06951945450135)	(3, 36.19212476754319)	(4, 36.268178706506994)	(5, 36.299119404191856)	(6, 36.25478631941138)	(7, 36.19648767866608)	(8, 36.161898824015594)	(9, 36.14978070451258)	(10, 36.192771172660386)	(15, 36.43266552272462)	(20, 36.47635608340595)	(25, 36.37776040103853)	(30, 36.3879758155079)	(35, 36.458944420150694)	(40, 36.47849200740003)	(45, 36.51301362808421)	(50, 36.53526615437477)	(55, 36.53171429417389)	(60, 36.51596201737078)	(65, 36.52322924229193)	(70, 36.51953912014738)	(75, 36.49678422527819)	(80, 36.48172098854202)	(85, 36.483412098275885)	(90, 36.460464835819806)	(95, 36.44911871543675)	(100, 36.43483932412256)	(105, 36.41603113306046)	(110, 36.39744094526149)	(115, 36.35807110721406)	(120, 36.344247587860536)	(125, 36.32740884009671)	(130, 36.31195060232676)	(135, 36.271106558716326)	(140, 36.2653109382037)	(145, 36.220824598463096)	(150, 36.36482605106022)
DRR898366_2_paired	(1, 33.980543522203554)	(2, 35.9423525078384)	(3, 36.04119736593868)	(4, 36.19823593355553)	(5, 36.23426938936853)	(6, 36.26989174475119)	(7, 36.2897708222907)	(8, 36.29313473061961)	(9, 36.33021606130571)	(10, 36.4173007878826)	(15, 36.48766630431853)	(20, 36.52164167063453)	(25, 36.424195200833694)	(30, 36.421364141908704)	(35, 36.4755245613368)	(40, 36.50030654700346)	(45, 36.521884713832286)	(50, 36.537522844339534)	(55, 36.5424482567118)	(60, 36.54815162943286)	(65, 36.550859954086114)	(70, 36.53359599949404)	(75, 36.52472472982096)	(80, 36.528643288641504)	(85, 36.533339305923434)	(90, 36.49974085281748)	(95, 36.50341555594889)	(100, 36.460308879307085)	(105, 36.438184359935256)	(110, 36.41113699851684)	(115, 36.40392654824284)	(120, 36.385964143983614)	(125, 36.37279509883837)	(130, 36.349710095524934)	(135, 36.31311496562452)	(140, 36.27662826657921)	(145, 36.2721230577136)	(150, 36.42234448520576)
DRR898368_1_paired	(1, 35.348942168964506)	(2, 36.14242253920657)	(3, 36.2699851793926)	(4, 36.34538915235038)	(5, 36.375370095914676)	(6, 36.341700531730616)	(7, 36.29002246809832)	(8, 36.257845027142366)	(9, 36.250891368733164)	(10, 36.2920424406996)	(15, 36.51055885621137)	(20, 36.54979652211663)	(25, 36.463272349864084)	(30, 36.47524479398014)	(35, 36.53821739054466)	(40, 36.558334212513515)	(45, 36.586020672871896)	(50, 36.6082583002937)	(55, 36.60371762000406)	(60, 36.589614323769744)	(65, 36.59203905261904)	(70, 36.58987593984294)	(75, 36.56925084536185)	(80, 36.555663483339494)	(85, 36.55705259705917)	(90, 36.53828085887368)	(95, 36.52507681808452)	(100, 36.511885301962856)	(105, 36.496634044246534)	(110, 36.47453031589471)	(115, 36.44271497346078)	(120, 36.42906642327695)	(125, 36.41294393945126)	(130, 36.40045340913097)	(135, 36.35837582618872)	(140, 36.353225443502495)	(145, 36.30847574665593)	(150, 36.4086042118598)
DRR898368_2_paired	(1, 34.30345732714442)	(2, 36.058707430284926)	(3, 36.16058724680264)	(4, 36.293672276264175)	(5, 36.32337530349183)	(6, 36.35669076392972)	(7, 36.37084341379011)	(8, 36.37458234685013)	(9, 36.40605876780521)	(10, 36.48794700806293)	(15, 36.549547068246184)	(20, 36.57959250756723)	(25, 36.48632924748402)	(30, 36.48053354186642)	(35, 36.53308494326948)	(40, 36.555640485546874)	(45, 36.578662743596404)	(50, 36.591880332350954)	(55, 36.59793521284166)	(60, 36.602537197376954)	(65, 36.60462930075096)	(70, 36.58968399360741)	(75, 36.580389615002616)	(80, 36.58396959115326)	(85, 36.5873075696807)	(90, 36.55514118352704)	(95, 36.55939114311455)	(100, 36.51793648164379)	(105, 36.500477372629845)	(110, 36.47334815567247)	(115, 36.46814589375409)	(120, 36.448580623277905)	(125, 36.43373862120721)	(130, 36.40980827776174)	(135, 36.378143955353444)	(140, 36.34430762783294)	(145, 36.33875232800938)	(150, 36.45699037350079)
DRR898372_1_paired	(1, 35.20184763933986)	(2, 36.09357961990691)	(3, 36.225493933819386)	(4, 36.30100438191995)	(5, 36.340048650974346)	(6, 36.306213976080265)	(7, 36.250892604248236)	(8, 36.21734901193635)	(9, 36.2135815996605)	(10, 36.26361261906699)	(15, 36.488805179505825)	(20, 36.531021170622424)	(25, 36.43598839197945)	(30, 36.44817093310099)	(35, 36.51435977905342)	(40, 36.53391344761597)	(45, 36.566583217704455)	(50, 36.587718211321956)	(55, 36.58581401745981)	(60, 36.571271560049865)	(65, 36.57338931113137)	(70, 36.57168142496717)	(75, 36.549218401590416)	(80, 36.53738804164045)	(85, 36.53858454779775)	(90, 36.5143074593529)	(95, 36.50424576145107)	(100, 36.49077540522337)	(105, 36.47367444194187)	(110, 36.454237026257644)	(115, 36.42044938407381)	(120, 36.40232236159089)	(125, 36.38942740150857)	(130, 36.37379240433622)	(135, 36.332090643887646)	(140, 36.32674963699823)	(145, 36.28472395934737)	(150, 36.40187972053302)
DRR898372_2_paired	(1, 34.00584860373468)	(2, 35.94584050830663)	(3, 36.03194508829995)	(4, 36.188401976225315)	(5, 36.22826166854025)	(6, 36.269032341529055)	(7, 36.28718040945616)	(8, 36.30846472069303)	(9, 36.340676879712326)	(10, 36.43030806729986)	(15, 36.49759930375399)	(20, 36.534193872760646)	(25, 36.42225517455644)	(30, 36.419719227817694)	(35, 36.479190877423356)	(40, 36.50881903771222)	(45, 36.53208613247331)	(50, 36.552798198044464)	(55, 36.56056071870452)	(60, 36.56629092161647)	(65, 36.570594752775975)	(70, 36.55486038171681)	(75, 36.54789167347693)	(80, 36.551001568310404)	(85, 36.55373547706922)	(90, 36.52037685656716)	(95, 36.52269089790498)	(100, 36.48167420751663)	(105, 36.45978817943576)	(110, 36.43453014693243)	(115, 36.42772135560523)	(120, 36.4066390658947)	(125, 36.393028788284845)	(130, 36.369524476228214)	(135, 36.334407975892155)	(140, 36.297110738599415)	(145, 36.29183713909079)	(150, 36.43628779974401)
