Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
DRR898365_2_paired	(1.0, 67.323684101902)	(2.0, 22.990269697823997)	(3.0, 6.713963489637215)	(4.0, 1.888600909326503)	(5.0, 0.5507338462464153)	(6.0, 0.17852466180557683)	(7.0, 0.09384555850486831)	(8.0, 0.05697258755077672)	(9.0, 0.0360210939142608)	('>10', 0.07564134890039173)	('>50', 0.0)	('>100', 0.004514579477793916)	('>500', 0.0)	('>1k', 0.08722812491023245)	('>5k', 0.0)	('>10k+', 0.0)
DRR898366_1_paired	(1.0, 65.60388740088693)	(2.0, 23.884277454165233)	(3.0, 7.241466373838419)	(4.0, 2.1171852049256836)	(5.0, 0.655879804297766)	(6.0, 0.20937251211169003)	(7.0, 0.11668264170526682)	(8.0, 0.05208554688515907)	(9.0, 0.04268227434752007)	('>10', 0.07648078683631268)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898366_2_paired	(1.0, 65.94365004166671)	(2.0, 23.53562571769391)	(3.0, 7.253921303143112)	(4.0, 2.0315707978675395)	(5.0, 0.6446789177109822)	(6.0, 0.19940897431045676)	(7.0, 0.11215693296054056)	(8.0, 0.05544414818919384)	(9.0, 0.03227872420537957)	('>10', 0.0906587702349501)	('>50', 0.0037997497507490626)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.09680592226646509)	('>5k', 0.0)	('>10k+', 0.0)
DRR898368_1_paired	(1.0, 69.91305204384442)	(2.0, 21.8794801693625)	(3.0, 6.0152418324140235)	(4.0, 1.4695281370455309)	(5.0, 0.40047101694528564)	(6.0, 0.14966317253962733)	(7.0, 0.06807671370004816)	(8.0, 0.04376530214604317)	(9.0, 0.012122953190144557)	('>10', 0.04859865881237527)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898368_2_paired	(1.0, 70.02181036644228)	(2.0, 21.79753152869735)	(3.0, 5.861644628362123)	(4.0, 1.5007765072349122)	(5.0, 0.4156157948278317)	(6.0, 0.14734172591704753)	(7.0, 0.0749665111969703)	(8.0, 0.03901803734738949)	(9.0, 0.025448757169827294)	('>10', 0.04184642246670503)	('>50', 0.00416083935771762)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0698388809798366)	('>5k', 0.0)	('>10k+', 0.0)
DRR898372_1_paired	(1.0, 71.16235149346085)	(2.0, 21.31054936055041)	(3.0, 5.529270712440842)	(4.0, 1.3457255371478345)	(5.0, 0.3819837366203396)	(6.0, 0.12654003402423994)	(7.0, 0.05796509189561616)	(8.0, 0.03805619694256576)	(9.0, 0.018295238420661785)	('>10', 0.029262598496637558)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898372_2_paired	(1.0, 71.35092656529186)	(2.0, 21.121668674944193)	(3.0, 5.4881534897472095)	(4.0, 1.3285657909033144)	(5.0, 0.32668580360579264)	(6.0, 0.13208813553768295)	(7.0, 0.05444673261076032)	(8.0, 0.04397074215871652)	(9.0, 0.018282423737892697)	('>10', 0.037005016820575484)	('>50', 0.0038714372479946757)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.09433518739402423)	('>5k', 0.0)	('>10k+', 0.0)
DRR898376_1_paired	(1.0, 73.70952461795778)	(2.0, 18.12641559408621)	(3.0, 4.707087358862869)	(4.0, 1.61049078273547)	(5.0, 0.5484866719612773)	(6.0, 0.35711368704237384)	(7.0, 0.24613613219899105)	(8.0, 0.15548591743234969)	(9.0, 0.11347517662453864)	('>10', 0.4257840610981192)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
DRR898376_2_paired	(1.0, 72.88947131525033)	(2.0, 18.64134459321759)	(3.0, 4.851962406986381)	(4.0, 1.503330856131529)	(5.0, 0.6025461878275028)	(6.0, 0.3492346819920293)	(7.0, 0.23687604581228713)	(8.0, 0.16325277454672923)	(9.0, 0.11472899663838884)	('>10', 0.4779234368103109)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.16932870478694714)	('>5k', 0.0)	('>10k+', 0.0)
DRR898377_1_paired	(1.0, 70.02097133145165)	(2.0, 20.576607521585196)	(3.0, 5.868899418840787)	(4.0, 1.8277489010321262)	(5.0, 0.6501678498568705)	(6.0, 0.3263688853805244)	(7.0, 0.22177464421718712)	(8.0, 0.12309039151806218)	(9.0, 0.0866965598705138)	('>10', 0.29767449624710796)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
