Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
DRR898365_1_paired	(35, 1756.0)	(40, 2007.0)	(45, 1925.0)	(50, 1695.0)	(55, 1693.0)	(60, 1617.0)	(65, 1583.0)	(70, 1598.0)	(75, 1548.0)	(80, 1659.0)	(85, 1640.0)	(90, 1590.0)	(95, 1631.0)	(100, 1715.0)	(105, 1862.0)	(110, 1925.0)	(115, 1909.0)	(120, 1957.0)	(125, 2053.0)	(130, 2171.0)	(135, 2365.0)	(140, 2317.0)	(145, 13311.0)	(150, 2591759.0)
DRR898365_2_paired	(35, 1960.0)	(40, 2146.0)	(45, 1821.0)	(50, 1651.0)	(55, 1591.0)	(60, 1333.0)	(65, 1389.0)	(70, 1360.0)	(75, 1306.0)	(80, 1201.0)	(85, 1256.0)	(90, 1280.0)	(95, 1364.0)	(100, 1465.0)	(105, 1493.0)	(110, 1564.0)	(115, 1512.0)	(120, 1548.0)	(125, 1607.0)	(130, 1654.0)	(135, 1777.0)	(140, 1903.0)	(145, 11629.0)	(150, 2599476.0)
DRR898366_1_paired	(35, 1861.0)	(40, 2174.0)	(45, 1972.0)	(50, 1795.0)	(55, 1774.0)	(60, 1761.0)	(65, 1733.0)	(70, 1687.0)	(75, 1598.0)	(80, 1718.0)	(85, 1758.0)	(90, 1844.0)	(95, 1774.0)	(100, 1782.0)	(105, 1910.0)	(110, 1967.0)	(115, 2109.0)	(120, 2191.0)	(125, 2137.0)	(130, 2320.0)	(135, 2412.0)	(140, 2489.0)	(145, 14183.0)	(150, 2725826.0)
DRR898366_2_paired	(35, 1827.0)	(40, 2127.0)	(45, 1772.0)	(50, 1618.0)	(55, 1425.0)	(60, 1360.0)	(65, 1257.0)	(70, 1325.0)	(75, 1211.0)	(80, 1240.0)	(85, 1313.0)	(90, 1251.0)	(95, 1372.0)	(100, 1331.0)	(105, 1429.0)	(110, 1433.0)	(115, 1512.0)	(120, 1608.0)	(125, 1585.0)	(130, 1697.0)	(135, 1870.0)	(140, 1969.0)	(145, 11348.0)	(150, 2737895.0)
DRR898368_1_paired	(35, 999.0)	(40, 1120.0)	(45, 1070.0)	(50, 962.0)	(55, 1015.0)	(60, 980.0)	(65, 958.0)	(70, 945.0)	(75, 1016.0)	(80, 1037.0)	(85, 985.0)	(90, 966.0)	(95, 1065.0)	(100, 1063.0)	(105, 1191.0)	(110, 1171.0)	(115, 1248.0)	(120, 1296.0)	(125, 1338.0)	(130, 1449.0)	(135, 1440.0)	(140, 1531.0)	(145, 8718.0)	(150, 2053396.0)
DRR898368_2_paired	(35, 1057.0)	(40, 1178.0)	(45, 1093.0)	(50, 963.0)	(55, 884.0)	(60, 812.0)	(65, 825.0)	(70, 775.0)	(75, 820.0)	(80, 792.0)	(85, 735.0)	(90, 756.0)	(95, 813.0)	(100, 849.0)	(105, 890.0)	(110, 946.0)	(115, 887.0)	(120, 935.0)	(125, 994.0)	(130, 1012.0)	(135, 1124.0)	(140, 1176.0)	(145, 7160.0)	(150, 2059483.0)
DRR898372_1_paired	(35, 1116.0)	(40, 1311.0)	(45, 1234.0)	(50, 1139.0)	(55, 1020.0)	(60, 1079.0)	(65, 1036.0)	(70, 1040.0)	(75, 1059.0)	(80, 1064.0)	(85, 1128.0)	(90, 1081.0)	(95, 1138.0)	(100, 1159.0)	(105, 1190.0)	(110, 1250.0)	(115, 1286.0)	(120, 1295.0)	(125, 1369.0)	(130, 1454.0)	(135, 1577.0)	(140, 1578.0)	(145, 8991.0)	(150, 2005064.0)
DRR898372_2_paired	(35, 1307.0)	(40, 1436.0)	(45, 1227.0)	(50, 1056.0)	(55, 1025.0)	(60, 947.0)	(65, 885.0)	(70, 913.0)	(75, 861.0)	(80, 860.0)	(85, 836.0)	(90, 836.0)	(95, 889.0)	(100, 855.0)	(105, 1012.0)	(110, 1064.0)	(115, 1022.0)	(120, 1014.0)	(125, 1082.0)	(130, 1173.0)	(135, 1266.0)	(140, 1327.0)	(145, 7811.0)	(150, 2009954.0)
DRR898376_1_paired	(35, 454.0)	(40, 540.0)	(45, 618.0)	(50, 587.0)	(55, 634.0)	(60, 538.0)	(65, 633.0)	(70, 561.0)	(75, 519.0)	(80, 614.0)	(85, 600.0)	(90, 649.0)	(95, 571.0)	(100, 603.0)	(105, 625.0)	(110, 647.0)	(115, 632.0)	(120, 535.0)	(125, 464.0)	(130, 511.0)	(135, 478.0)	(140, 495.0)	(145, 2651.0)	(150, 1255705.0)
DRR898376_2_paired	(35, 796.0)	(40, 805.0)	(45, 737.0)	(50, 686.0)	(55, 654.0)	(60, 642.0)	(65, 602.0)	(70, 642.0)	(75, 560.0)	(80, 562.0)	(85, 553.0)	(90, 566.0)	(95, 578.0)	(100, 557.0)	(105, 547.0)	(110, 597.0)	(115, 531.0)	(120, 484.0)	(125, 440.0)	(130, 459.0)	(135, 467.0)	(140, 391.0)	(145, 2110.0)	(150, 1255898.0)
DRR898377_1_paired	(35, 530.0)	(40, 607.0)	(45, 613.0)	(50, 662.0)	(55, 547.0)	(60, 565.0)	(65, 549.0)	(70, 555.0)	(75, 598.0)	(80, 567.0)	(85, 613.0)	(90, 617.0)	(95, 586.0)	(100, 646.0)	(105, 648.0)	(110, 679.0)	(115, 627.0)	(120, 645.0)	(125, 597.0)	(130, 599.0)	(135, 601.0)	(140, 663.0)	(145, 3317.0)	(150, 1508615.0)
DRR898377_2_paired	(35, 900.0)	(40, 920.0)	(45, 824.0)	(50, 781.0)	(55, 708.0)	(60, 728.0)	(65, 631.0)	(70, 596.0)	(75, 581.0)	(80, 588.0)	(85, 583.0)	(90, 594.0)	(95, 581.0)	(100, 626.0)	(105, 595.0)	(110, 619.0)	(115, 654.0)	(120, 567.0)	(125, 579.0)	(130, 610.0)	(135, 579.0)	(140, 548.0)	(145, 2767.0)	(150, 1508087.0)
DRR898379_1_paired	(35, 1380.0)	(40, 1772.0)	(45, 1652.0)	(50, 1639.0)	(55, 1650.0)	(60, 1586.0)	(65, 1522.0)	(70, 1520.0)	(75, 1575.0)	(80, 1454.0)	(85, 1470.0)	(90, 1430.0)	(95, 1549.0)	(100, 1534.0)	(105, 1553.0)	(110, 1633.0)	(115, 1653.0)	(120, 1743.0)	(125, 1795.0)	(130, 1991.0)	(135, 2192.0)	(140, 2129.0)	(145, 10333.0)	(150, 3637983.0)
DRR898379_2_paired	(35, 2567.0)	(40, 2774.0)	(45, 2477.0)	(50, 2266.0)	(55, 1953.0)	(60, 1904.0)	(65, 1816.0)	(70, 1684.0)	(75, 1661.0)	(80, 1507.0)	(85, 1564.0)	(90, 1561.0)	(95, 1467.0)	(100, 1570.0)	(105, 1491.0)	(110, 1497.0)	(115, 1496.0)	(120, 1490.0)	(125, 1572.0)	(130, 1616.0)	(135, 1661.0)	(140, 1761.0)	(145, 9490.0)	(150, 3635893.0)
DRR898407_1_paired	(35, 935.0)	(40, 1097.0)	(45, 1121.0)	(50, 1089.0)	(55, 1088.0)	(60, 973.0)	(65, 936.0)	(70, 944.0)	(75, 895.0)	(80, 1039.0)	(85, 1081.0)	(90, 1005.0)	(95, 1012.0)	(100, 1020.0)	(105, 1021.0)	(110, 982.0)	(115, 996.0)	(120, 964.0)	(125, 914.0)	(130, 939.0)	(135, 911.0)	(140, 1020.0)	(145, 4800.0)	(150, 1829490.0)
DRR898407_2_paired	(35, 1347.0)	(40, 1467.0)	(45, 1373.0)	(50, 1118.0)	(55, 1052.0)	(60, 1136.0)	(65, 950.0)	(70, 936.0)	(75, 932.0)	(80, 880.0)	(85, 880.0)	(90, 925.0)	(95, 874.0)	(100, 852.0)	(105, 850.0)	(110, 874.0)	(115, 880.0)	(120, 807.0)	(125, 831.0)	(130, 867.0)	(135, 866.0)	(140, 797.0)	(145, 3856.0)	(150, 1830922.0)
DRR898409_1_paired	(35, 883.0)	(40, 1030.0)	(45, 1016.0)	(50, 1088.0)	(55, 1006.0)	(60, 1050.0)	(65, 1019.0)	(70, 1105.0)	(75, 1084.0)	(80, 1073.0)	(85, 1063.0)	(90, 1110.0)	(95, 1115.0)	(100, 1155.0)	(105, 1139.0)	(110, 1115.0)	(115, 1117.0)	(120, 1072.0)	(125, 1086.0)	(130, 1165.0)	(135, 1214.0)	(140, 1184.0)	(145, 5595.0)	(150, 2132232.0)
DRR898409_2_paired	(35, 1213.0)	(40, 1383.0)	(45, 1199.0)	(50, 1174.0)	(55, 1090.0)	(60, 1078.0)	(65, 979.0)	(70, 976.0)	(75, 950.0)	(80, 948.0)	(85, 941.0)	(90, 915.0)	(95, 930.0)	(100, 922.0)	(105, 917.0)	(110, 932.0)	(115, 931.0)	(120, 835.0)	(125, 822.0)	(130, 856.0)	(135, 903.0)	(140, 869.0)	(145, 4291.0)	(150, 2135662.0)
DRR898410_1_paired	(35, 1468.0)	(40, 1801.0)	(45, 1617.0)	(50, 1661.0)	(55, 1598.0)	(60, 1532.0)	(65, 1615.0)	(70, 1547.0)	(75, 1498.0)	(80, 1428.0)	(85, 1478.0)	(90, 1543.0)	(95, 1548.0)	(100, 1559.0)	(105, 1618.0)	(110, 1664.0)	(115, 1761.0)	(120, 1873.0)	(125, 1907.0)	(130, 1935.0)	(135, 2017.0)	(140, 2061.0)	(145, 10412.0)	(150, 4157630.0)
DRR898410_2_paired	(35, 3511.0)	(40, 3617.0)	(45, 3197.0)	(50, 2827.0)	(55, 2589.0)	(60, 2270.0)	(65, 2170.0)	(70, 2025.0)	(75, 1980.0)	(80, 1781.0)	(85, 1745.0)	(90, 1839.0)	(95, 1819.0)	(100, 1740.0)	(105, 1847.0)	(110, 1900.0)	(115, 1955.0)	(120, 2036.0)	(125, 2153.0)	(130, 2320.0)	(135, 2408.0)	(140, 2469.0)	(145, 10817.0)	(150, 4143756.0)
DRR898411_1_paired	(35, 526.0)	(40, 650.0)	(45, 638.0)	(50, 648.0)	(55, 677.0)	(60, 678.0)	(65, 746.0)	(70, 701.0)	(75, 717.0)	(80, 732.0)	(85, 809.0)	(90, 868.0)	(95, 869.0)	(100, 1019.0)	(105, 956.0)	(110, 1019.0)	(115, 1144.0)	(120, 1255.0)	(125, 1349.0)	(130, 1473.0)	(135, 1726.0)	(140, 1977.0)	(145, 4255.0)	(150, 1012680.0)
DRR898411_2_paired	(35, 2615.0)	(40, 3202.0)	(45, 3060.0)	(50, 2920.0)	(55, 2919.0)	(60, 2919.0)	(65, 2793.0)	(70, 2986.0)	(75, 3050.0)	(80, 2928.0)	(85, 3010.0)	(90, 3149.0)	(95, 3099.0)	(100, 3200.0)	(105, 3204.0)	(110, 3417.0)	(115, 3334.0)	(120, 3589.0)	(125, 4319.0)	(130, 5196.0)	(135, 7226.0)	(140, 9589.0)	(145, 20206.0)	(150, 936182.0)
DRR898421_1_paired	(35, 848.0)	(40, 1013.0)	(45, 1011.0)	(50, 983.0)	(55, 1027.0)	(60, 937.0)	(65, 938.0)	(70, 999.0)	(75, 953.0)	(80, 1001.0)	(85, 1000.0)	(90, 1092.0)	(95, 1071.0)	(100, 1029.0)	(105, 1100.0)	(110, 1114.0)	(115, 1178.0)	(120, 1215.0)	(125, 1205.0)	(130, 1249.0)	(135, 1281.0)	(140, 1416.0)	(145, 6023.0)	(150, 1859403.0)
DRR898421_2_paired	(35, 839.0)	(40, 988.0)	(45, 912.0)	(50, 812.0)	(55, 806.0)	(60, 741.0)	(65, 673.0)	(70, 718.0)	(75, 701.0)	(80, 686.0)	(85, 673.0)	(90, 699.0)	(95, 671.0)	(100, 667.0)	(105, 738.0)	(110, 736.0)	(115, 745.0)	(120, 803.0)	(125, 816.0)	(130, 805.0)	(135, 887.0)	(140, 893.0)	(145, 3746.0)	(150, 1868331.0)
DRR898438_1_paired	(35, 504.0)	(40, 632.0)	(45, 599.0)	(50, 506.0)	(55, 575.0)	(60, 540.0)	(65, 537.0)	(70, 490.0)	(75, 442.0)	(80, 460.0)	(85, 472.0)	(90, 447.0)	(95, 427.0)	(100, 466.0)	(105, 462.0)	(110, 465.0)	(115, 401.0)	(120, 431.0)	(125, 486.0)	(130, 479.0)	(135, 492.0)	(140, 546.0)	(145, 2380.0)	(150, 2428527.0)
DRR898438_2_paired	(35, 1827.0)	(40, 1843.0)	(45, 1652.0)	(50, 1359.0)	(55, 1253.0)	(60, 1013.0)	(65, 1033.0)	(70, 936.0)	(75, 890.0)	(80, 810.0)	(85, 813.0)	(90, 740.0)	(95, 747.0)	(100, 707.0)	(105, 718.0)	(110, 713.0)	(115, 670.0)	(120, 709.0)	(125, 729.0)	(130, 679.0)	(135, 743.0)	(140, 759.0)	(145, 3950.0)	(150, 2416473.0)
